symbol,lastPrice,totalTradedVolume,lastUpdateTime,yearHigh,yearLow
NIFTY 100,23806.95,1161677763,06-Jun-2024 16:00:00,24445.2,18493.1
HAL,4669.0,9128985,06-Jun-2024 15:59:59,5444.0,1644.5
GAIL,208.3,41316996,06-Jun-2024 15:59:57,233.2,103.3
RECLTD,490.0,54149649,06-Jun-2024 15:59:57,607.8,142.9
IRCTC,975.0,5451521,06-Jun-2024 15:59:30,1138.9,614.35
PFC,472.9,48961426,06-Jun-2024 15:59:22,559.0,153.32
BEL,274.65,95502477,06-Jun-2024 15:59:44,323.0,115.9
ADANIENSOL,1002.5,8559362,06-Jun-2024 15:59:10,1250.0,686.0
LICI,985.0,3548002,06-Jun-2024 15:59:59,1175.0,595.05
TECHM,1323.0,3205121,06-Jun-2024 15:59:28,1416.3,1060.1
IRFC,173.7,70250205,06-Jun-2024 15:59:59,200.0,31.8
SIEMENS,6809.95,420303,06-Jun-2024 15:55:28,7387.2,3246.0
DLF,830.0,5439648,06-Jun-2024 15:59:55,967.6,463.05
ATGL,973.5,3249825,06-Jun-2024 15:59:31,1259.4,522.0
HCLTECH,1396.0,5936709,06-Jun-2024 15:59:54,1697.35,1087.05
SHRIRAMFIN,2476.0,2100297,06-Jun-2024 15:59:28,2658.0,1385.75
CHOLAFIN,1334.35,1742305,06-Jun-2024 15:59:44,1352.6,997.25
SBILIFE,1438.45,2227021,06-Jun-2024 15:54:07,1569.4,1210.1
SBIN,817.0,40555649,06-Jun-2024 15:59:54,912.0,543.2
BANKBARODA,268.9,31690680,06-Jun-2024 15:59:54,299.7,182.65
ADANIPOWER,750.0,17408648,06-Jun-2024 15:59:58,895.85,231.0
INFY,1473.0,12660930,06-Jun-2024 15:59:28,1733.0,1262.25
NTPC,351.1,33171039,06-Jun-2024 15:59:50,393.2,173.55
COALINDIA,473.95,21757857,06-Jun-2024 15:59:52,527.4,223.25
EICHERMOT,4711.0,748915,06-Jun-2024 15:59:28,4908.0,3160.0
IOC,163.7,35722401,06-Jun-2024 16:00:00,196.8,85.5
LTIM,4818.0,622901,06-Jun-2024 15:55:55,6442.0,4513.55
HAVELLS,1840.8,2087804,06-Jun-2024 15:55:02,1985.4,1232.85
LT,3496.0,8374602,06-Jun-2024 15:59:52,3919.9,2263.7
CANBK,118.1,52416611,06-Jun-2024 15:59:50,128.9,58.33
ONGC,253.5,30881233,06-Jun-2024 15:59:57,292.95,152.55
TCS,3836.0,4328036,06-Jun-2024 15:58:56,4254.75,3156.0
JINDALSTEL,1030.0,2465243,06-Jun-2024 15:58:47,1085.95,520.5
ABB,7996.0,483840,06-Jun-2024 15:59:31,8765.0,3850.0
TATAPOWER,432.35,13644903,06-Jun-2024 15:59:58,464.2,214.1
WIPRO,461.6,7712784,06-Jun-2024 15:59:38,545.9,375.05
BHARTIARTL,1374.0,10279789,06-Jun-2024 15:55:18,1420.45,819.0
ADANIENT,3181.6,5873271,06-Jun-2024 15:59:55,3743.9,2142.0
VEDL,450.0,13579110,06-Jun-2024 15:59:47,506.75,208.0
NAUKRI,6122.0,416434,06-Jun-2024 15:58:56,6545.0,3972.05
AMBUJACEM,610.0,3774112,06-Jun-2024 15:59:01,676.65,404.05
TATASTEEL,172.15,57920819,06-Jun-2024 15:59:58,177.7,108.1
ADANIGREEN,1860.55,1909863,06-Jun-2024 15:59:49,2174.1,815.55
PNB,123.9,59619303,06-Jun-2024 15:59:56,142.9,49.7
TVSMOTOR,2388.0,1606531,06-Jun-2024 15:59:54,2409.95,1286.0
MARUTI,12684.5,447536,06-Jun-2024 15:58:34,13073.95,9254.15
GRASIM,2337.8,834320,06-Jun-2024 15:58:31,2489.75,1696.0
ITC,436.4,31119999,06-Jun-2024 15:59:55,499.7,399.35
DRREDDY,5899.4,719676,06-Jun-2024 15:58:36,6505.9,4605.0
BAJFINANCE,6924.0,1465716,06-Jun-2024 15:59:58,8192.0,6187.8
JIOFIN,350.0,16246617,06-Jun-2024 15:59:55,394.7,202.8
TATAMTRDVR,628.4,2670655,06-Jun-2024 15:59:57,712.6,287.25
BAJAJHLDNG,8144.9,17926,06-Jun-2024 15:58:22,9348.95,6627.9
RELIANCE,2872.0,8927861,06-Jun-2024 15:59:59,3029.0,2220.3
POWERGRID,302.0,36508044,06-Jun-2024 15:59:42,348.7,175.84
TATAMOTORS,939.5,11792640,06-Jun-2024 15:59:54,1065.6,545.35
ICICIGI,1646.75,716813,06-Jun-2024 15:58:57,1747.0,1195.25
JSWSTEEL,886.9,3095781,06-Jun-2024 15:58:17,928.95,708.8
SBICARD,705.95,755105,06-Jun-2024 15:59:21,933.0,647.95
BAJAJFINSV,1531.0,2891789,06-Jun-2024 15:59:04,1741.0,1419.05
MCDOWELL-N,1309.0,1533822,06-Jun-2024 15:53:55,1313.9,864.5
BAJAJ-AUTO,9676.0,570095,06-Jun-2024 15:58:02,9740.0,4541.0
BPCL,585.4,18967116,06-Jun-2024 15:59:51,687.95,331.45
HDFCLIFE,555.9,3970217,06-Jun-2024 15:59:50,710.6,511.4
KOTAKBANK,1730.1,6359901,06-Jun-2024 15:59:30,1987.75,1543.85
BERGEPAINT,478.2,2809556,06-Jun-2024 15:57:59,679.75,439.0
HDFCBANK,1559.5,23211435,06-Jun-2024 15:59:59,1757.5,1363.55
TITAN,3333.0,1825503,06-Jun-2024 15:59:56,3886.95,2833.25
VBL,1498.25,1794242,06-Jun-2024 15:58:37,1561.95,755.0
ICICIBANK,1111.75,18574162,06-Jun-2024 15:59:56,1173.0,899.0
SHREECEM,25546.0,32684,06-Jun-2024 15:56:06,30737.75,22605.6
APOLLOHOSP,5949.65,490549,06-Jun-2024 15:59:28,6874.45,4726.0
ICICIPRULI,564.0,777374,06-Jun-2024 15:58:50,640.85,463.45
ULTRACEMCO,10060.05,483566,06-Jun-2024 15:58:17,10526.0,7888.0
ADANIPORTS,1357.0,12153840,06-Jun-2024 15:59:51,1621.4,703.0
SRF,2298.5,304806,06-Jun-2024 15:58:47,2693.95,2040.0
MOTHERSON,152.25,31718779,06-Jun-2024 15:59:09,159.7,79.95
TATACONSUM,1143.5,2655137,06-Jun-2024 15:58:50,1269.0,784.45
TORNTPHARM,2782.75,255802,06-Jun-2024 15:58:01,2830.95,1766.25
ZYDUSLIFE,1047.0,1909045,06-Jun-2024 15:59:14,1172.5,504.0
COLPAL,2949.95,433141,06-Jun-2024 15:59:19,3069.05,1593.35
DABUR,598.15,7598586,06-Jun-2024 15:59:56,633.4,489.2
ZOMATO,183.1,20887553,06-Jun-2024 15:59:59,207.2,71.35
DIVISLAB,4482.05,790310,06-Jun-2024 15:59:48,4525.0,3295.3
TRENT,4876.0,512601,06-Jun-2024 15:59:49,4932.05,1583.35
BOSCHLTD,30622.35,20538,06-Jun-2024 15:44:33,32229.5,17931.15
SUNPHARMA,1474.3,3004955,06-Jun-2024 15:59:59,1638.85,977.3
AXISBANK,1174.0,12006879,06-Jun-2024 15:57:10,1242.2,927.15
BRITANNIA,5432.95,629293,06-Jun-2024 15:59:19,5725.0,4347.7
MARICO,638.75,2216040,06-Jun-2024 15:56:19,667.2,486.3
INDIGO,4297.2,1087088,06-Jun-2024 15:58:52,4529.0,2331.1
CIPLA,1478.9,1605122,06-Jun-2024 15:58:59,1519.0,955.15
INDUSINDBK,1480.7,3279775,06-Jun-2024 15:59:28,1694.5,1262.0
NESTLEIND,2475.2,972140,06-Jun-2024 15:59:50,2769.3,2145.0
