symbol,lastPrice,totalTradedVolume,lastUpdateTime,yearHigh,yearLow
NIFTY 100,24266.05,976725135,07-Jun-2024 16:00:00,24445.2,18578.05
M&M,2845.0,6447821,07-Jun-2024 15:59:48,2867.6,1363.0
WIPRO,484.0,36336220,07-Jun-2024 15:59:59,545.9,375.05
TECHM,1372.55,5790599,07-Jun-2024 15:59:58,1416.3,1060.1
TATAMTRDVR,651.65,1217968,07-Jun-2024 15:58:24,712.6,288.25
INFY,1531.0,24075302,07-Jun-2024 15:59:39,1733.0,1262.25
TATASTEEL,178.85,84319867,07-Jun-2024 15:59:57,179.65,108.1
ULTRACEMCO,10435.95,545284,07-Jun-2024 15:59:12,10526.0,7987.65
BAJFINANCE,7175.0,2984052,07-Jun-2024 15:59:53,8192.0,6187.8
BHARTIARTL,1419.55,12280748,07-Jun-2024 15:59:10,1430.65,819.0
LTIM,4970.0,1002806,07-Jun-2024 15:59:32,6442.0,4513.55
NTPC,361.9,23930193,07-Jun-2024 15:59:50,393.2,175.4
BEL,283.0,60109827,07-Jun-2024 15:59:59,323.0,116.4
TITAN,3434.8,2084099,07-Jun-2024 15:59:41,3886.95,2833.25
TATAMOTORS,970.0,15577866,07-Jun-2024 15:59:56,1065.6,552.15
BAJAJHLDNG,8399.95,45046,07-Jun-2024 15:57:18,9348.95,6627.9
ONGC,260.5,22010688,07-Jun-2024 15:59:55,292.95,152.55
POWERGRID,309.85,38016104,07-Jun-2024 15:59:45,348.7,177.12
TATAPOWER,443.55,15039562,07-Jun-2024 15:59:57,464.2,214.1
ADANIPOWER,770.0,8120551,07-Jun-2024 15:59:39,895.85,231.0
DRREDDY,6050.85,749505,07-Jun-2024 15:57:17,6505.9,4637.0
BPCL,599.8,10810315,07-Jun-2024 15:59:46,687.95,331.45
MOTHERSON,156.4,30695632,07-Jun-2024 15:59:15,159.7,79.95
BAJAJFINSV,1565.9,2787254,07-Jun-2024 15:59:28,1741.0,1419.05
DABUR,612.05,5429725,07-Jun-2024 15:59:28,633.4,489.2
JSWSTEEL,910.1,3609817,07-Jun-2024 15:59:38,928.95,714.0
MARICO,653.6,2475400,07-Jun-2024 15:57:07,667.2,486.3
RELIANCE,2931.1,9279348,07-Jun-2024 15:59:52,3029.0,2220.3
SUNPHARMA,1506.7,3404664,07-Jun-2024 15:59:39,1638.85,977.3
PFC,482.9,32944221,07-Jun-2024 15:59:55,559.0,155.4
GAIL,212.55,31816743,07-Jun-2024 15:59:56,233.2,103.3
HCLTECH,1428.5,5884025,07-Jun-2024 15:59:47,1697.35,1087.05
ADANIENSOL,1023.1,6459015,07-Jun-2024 15:59:28,1250.0,686.0
TRENT,4979.0,488611,07-Jun-2024 15:59:34,5010.4,1583.35
TORNTPHARM,2838.0,311615,07-Jun-2024 15:59:30,2866.75,1772.05
AMBUJACEM,622.1,3023546,07-Jun-2024 15:59:18,676.65,404.05
GRASIM,2378.0,471524,07-Jun-2024 15:59:27,2489.75,1696.0
ADANIPORTS,1378.0,5884018,07-Jun-2024 15:59:51,1621.4,703.0
SBICARD,715.8,1956654,07-Jun-2024 15:59:11,933.0,647.95
GODREJCP,1426.2,1327582,07-Jun-2024 15:58:36,1467.1,959.8
INDIGO,4374.7,2066566,07-Jun-2024 15:59:32,4529.0,2331.1
DLF,843.15,4266992,07-Jun-2024 15:59:56,967.6,463.05
HAL,4745.0,4542809,07-Jun-2024 15:59:55,5444.0,1728.6
VEDL,457.4,11283521,07-Jun-2024 15:59:57,506.75,208.0
PIDILITIND,3140.0,707236,07-Jun-2024 15:58:47,3231.0,2292.55
SHREECEM,26057.5,77513,07-Jun-2024 15:55:36,30737.75,22605.6
DIVISLAB,4520.0,432970,07-Jun-2024 15:56:50,4540.4,3295.3
LICI,996.0,2201013,07-Jun-2024 15:59:41,1175.0,595.05
TCS,3888.55,4552445,07-Jun-2024 15:59:57,4254.75,3156.0
SBIN,829.25,25061284,07-Jun-2024 15:59:56,912.0,543.2
ICICIPRULI,571.95,645153,07-Jun-2024 15:59:53,640.85,463.45
